"","speaker","trial_num","tune","erb","erbc","normtime","prop_dur","speaker_trial"
"173","speaker1",6,"LHH",5.87205343147664,1.13725891531975,23,0.766666666666667,"speaker1_6"
"174","speaker1",6,"LHH",5.95297087438053,1.21817635822364,24,0.8,"speaker1_6"
"175","speaker1",6,"LHH",6.02805311513081,1.29325859897392,25,0.833333333333333,"speaker1_6"
"176","speaker1",6,"LHH",6.05720161958442,1.32240710342753,26,0.866666666666667,"speaker1_6"
"177","speaker1",6,"LHH",6.07105482594779,1.3362603097909,27,0.9,"speaker1_6"
"178","speaker1",6,"LHH",6.0496635728507,1.31486905669381,28,0.933333333333333,"speaker1_6"
"179","speaker1",6,"LHH",5.91958430839056,1.18478979223367,29,0.966666666666667,"speaker1_6"
"180","speaker1",6,"LHH",5.85738117059296,1.12258665443607,30,1,"speaker1_6"
"181","speaker1",7,"HHL",3.96588606593329,-0.768908450223601,1,0.0333333333333333,"speaker1_7"
"182","speaker1",7,"HHL",4.01582306338122,-0.718971452775675,2,0.0666666666666667,"speaker1_7"
"183","speaker1",7,"HHL",4.03702251906347,-0.697771997093422,3,0.1,"speaker1_7"
"184","speaker1",7,"HHL",4.02401889678243,-0.710775619374464,4,0.133333333333333,"speaker1_7"
"185","speaker1",7,"HHL",3.96734382708378,-0.767450689073109,5,0.166666666666667,"speaker1_7"
"186","speaker1",7,"HHL",3.91823738926714,-0.816557126889748,6,0.2,"speaker1_7"
"187","speaker1",7,"HHL",3.96790036648262,-0.766894149674269,7,0.233333333333333,"speaker1_7"
"188","speaker1",7,"HHL",4.13360958934195,-0.601184926814943,8,0.266666666666667,"speaker1_7"
"189","speaker1",7,"HHL",4.38189602070774,-0.35289849544915,9,0.3,"speaker1_7"
"190","speaker1",7,"HHL",4.68452028517428,-0.0502742309826152,10,0.333333333333333,"speaker1_7"
"191","speaker1",7,"HHL",4.98807849259807,0.253283976441181,11,0.366666666666667,"speaker1_7"
"192","speaker1",7,"HHL",5.31909358056198,0.584299064405084,12,0.4,"speaker1_7"
"193","speaker1",7,"HHL",5.66282533499492,0.928030818838026,13,0.433333333333333,"speaker1_7"
"194","speaker1",7,"HHL",5.97928242629758,1.24448791014069,14,0.466666666666667,"speaker1_7"
"195","speaker1",7,"HHL",6.21722567538589,1.482431159229,15,0.5,"speaker1_7"
"196","speaker1",7,"HHL",6.41723505151673,1.68244053535984,16,0.533333333333333,"speaker1_7"
"197","speaker1",7,"HHL",6.59888457020609,1.8640900540492,17,0.566666666666667,"speaker1_7"
"198","speaker1",7,"HHL",6.75708947384246,2.02229495768557,18,0.6,"speaker1_7"
"199","speaker1",7,"HHL",6.86625788223609,2.13146336607919,19,0.633333333333333,"speaker1_7"
"200","speaker1",7,"HHL",6.93410747272406,2.19931295656717,20,0.666666666666667,"speaker1_7"
"201","speaker1",7,"HHL",6.99285693020227,2.25806241404538,21,0.7,"speaker1_7"
"202","speaker1",7,"HHL",7.03301853753514,2.29822402137825,22,0.733333333333333,"speaker1_7"
"203","speaker1",7,"HHL",7.03132239075913,2.29652787460224,23,0.766666666666667,"speaker1_7"
"204","speaker1",7,"HHL",6.99519154798161,2.26039703182472,24,0.8,"speaker1_7"
"205","speaker1",7,"HHL",6.93641838287164,2.20162386671475,25,0.833333333333333,"speaker1_7"
"206","speaker1",7,"HHL",6.8840510484719,2.14925653231501,26,0.866666666666667,"speaker1_7"
"207","speaker1",7,"HHL",6.86701449432948,2.13221997817259,27,0.9,"speaker1_7"
"208","speaker1",7,"HHL",6.88621956256348,2.15142504640659,28,0.933333333333333,"speaker1_7"
"209","speaker1",7,"HHL",6.90142366623682,2.16662915007992,29,0.966666666666667,"speaker1_7"
"210","speaker1",7,"HHL",6.92210075348884,2.18730623733195,30,1,"speaker1_7"
"211","speaker1",8,"HHH",3.87625982131159,-0.858534694845306,1,0.0333333333333333,"speaker1_8"
"212","speaker1",8,"HHH",3.89927483257057,-0.835519683586325,2,0.0666666666666667,"speaker1_8"
"213","speaker1",8,"HHH",4.05245057455663,-0.68234394160026,3,0.1,"speaker1_8"
"214","speaker1",8,"HHH",4.23056870943155,-0.504225806725337,4,0.133333333333333,"speaker1_8"
"215","speaker1",8,"HHH",4.36878263244716,-0.366011883709733,5,0.166666666666667,"speaker1_8"
"216","speaker1",8,"HHH",4.47156883226691,-0.263225683889979,6,0.2,"speaker1_8"
"217","speaker1",8,"HHH",4.51622026254511,-0.218574253611782,7,0.233333333333333,"speaker1_8"
"218","speaker1",8,"HHH",4.53835363406571,-0.196440882091178,8,0.266666666666667,"speaker1_8"
"219","speaker1",8,"HHH",4.61818827058321,-0.116606245573678,9,0.3,"speaker1_8"
"220","speaker1",8,"HHH",4.76620355002754,0.0314090338706485,10,0.333333333333333,"speaker1_8"
"221","speaker1",8,"HHH",4.92029810858617,0.18550359242928,11,0.366666666666667,"speaker1_8"
"222","speaker1",8,"HHH",5.12715820308377,0.392363686926875,12,0.4,"speaker1_8"
"223","speaker1",8,"HHH",5.38924657082357,0.654452054666682,13,0.433333333333333,"speaker1_8"
"224","speaker1",8,"HHH",5.68232638826156,0.947531872104673,14,0.466666666666667,"speaker1_8"
